Id,TypeId,Title
261,2,Newfoundland
262,2,Norfolk Terrier
263,2,Norwegian Buhund
264,2,Norwegian Elkhound
265,2,Norwegian Lundehund
266,2,Norwich Terrier
267,2,Nova Scotia Duck Tolling Retriever
268,2,Old English Sheepdog
269,2,Otterhound
270,2,Papillon
271,2,Parson Russell Terrier
272,2,Pekingese
273,2,Pembroke Welsh Corgi
274,2,Perro de Presa Canario
275,2,Peruvian Inca Orchid
276,2,Petit Basset Griffon Vendeen
277,2,Pharaoh Hound
278,2,Plott Hound
279,2,Pointer
280,2,Polish Lowland Sheepdog
281,2,Pomeranian
282,2,Poodle
283,2,Porcelaine
284,2,Portuguese Podengo
285,2,Portuguese Pointer
286,2,Portuguese Water Dog
287,2,Pudelpointer
288,2,Pug
289,2,Puli
290,2,Pumi
291,2,Pyrenean Mastiff
292,2,Pyrenean Shepherd
293,2,Rafeiro do Alentejo
294,2,Rat Terrier
295,2,Redbone Coonhound
296,2,Rhodesian Ridgeback
297,2,Romanian Mioritic Shepherd Dog
298,2,Rottweiler
299,2,Russell Terrier
300,2,Russian Toy
301,2,Russian Tsvetn
302,2,Saint Bernard
303,2,Saluki
304,2,Samoyed
305,2,Schapendoes
306,2,Schipperke
307,2,Scottish Deerhound
308,2,Scottish Terrier
309,2,Sealyham Terrier
310,2,Shar Pei
311,2,Shetland Sheepdog
312,2,Shiba Inu
313,2,Shih Tzu
314,2,Shikoku
315,2,Siberian Husky
316,2,Silky Terrier
317,2,Skye Terrier
318,2,Sloughi
319,2,Slovakian Wirehaired Pointer
320,2,Slovensky Cuvac
321,2,Slovensky Kopov
322,2,Small Munsterlander
323,2,Smooth Fox Terrier
324,2,Soft Coated Wheaten Terrier
325,2,Spanish Mastiff
326,2,Spanish Water Dog
327,2,Spinone Italiano
328,2,Stabyhoun
329,2,Staffordshire Bull Terrier
330,2,Standard Schnauzer
331,2,Sussex Spaniel
332,2,Swedish Lapphund
333,2,Swedish Vallhund
334,2,Taiwan Dog
335,2,Teddy Roosevelt Terrier
336,2,Thai Ridgeback
337,2,Tibetan Mastiff
338,2,Tibetan Spaniel
339,2,Tibetan Terrier
340,2,Tornjak
341,2,Tosa
342,2,Toy American Eskimo Dog
343,2,Toy Fox Terrier
344,2,Toy Poodle
345,2,Treeing Tennessee Brindle
346,2,Treeing Walker Coonhound
